mode,source_raw,destination_raw,reason,raw_record
flight,Agatti Island (Lakshadweep),Kadapa,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Kadapa"", ""mode_raw"": ""Flight"", ""distance_km"": 825.3, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),Coimbatore,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Coimbatore"", ""mode_raw"": ""Flight"", ""distance_km"": 530.97, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),Cooch Behar,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Cooch Behar"", ""mode_raw"": ""Flight"", ""distance_km"": 2502.42, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),Kochi,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Kochi"", ""mode_raw"": ""Flight"", ""distance_km"": 466.42, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),Dhanbad,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Dhanbad"", ""mode_raw"": ""Flight"", ""distance_km"": 2087.16, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),Dehradun,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Dehradun"", ""mode_raw"": ""Flight"", ""distance_km"": 2249.84, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),Dibrugarh,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Dibrugarh"", ""mode_raw"": ""Flight"", ""distance_km"": 3020.19, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),Gaya,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Gaya"", ""mode_raw"": ""Flight"", ""distance_km"": 2051.69, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),Gwalior,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Gwalior"", ""mode_raw"": ""Flight"", ""distance_km"": 1833.16, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),Khajuraho,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Khajuraho"", ""mode_raw"": ""Flight"", ""distance_km"": 1756.73, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),Hisar,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Hisar"", ""mode_raw"": ""Flight"", ""distance_km"": 2073.43, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),Hyderabad,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Hyderabad"", ""mode_raw"": ""Flight"", ""distance_km"": 980.77, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),Indore,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Indore"", ""mode_raw"": ""Flight"", ""distance_km"": 1378.2, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 2765.43, ""time_hours"": 2.5, ""availability_raw"": ""Yes""}"
flight,Agatti Island (Lakshadweep),Prayagraj (Allahabad),non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Prayagraj (Allahabad)"", ""mode_raw"": ""Flight"", ""distance_km"": 1910.93, ""time_hours"": 0.0, ""availability_raw"": ""Yes""}"
flight,Agatti Island (Lakshadweep),Mangaluru (Mangalore),non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Mangaluru (Mangalore)"", ""mode_raw"": ""Flight"", ""distance_km"": 378.53, ""time_hours"": 0.0, ""availability_raw"": ""Yes""}"
flight,Agatti Island (Lakshadweep),Belagavi (Belgaum),non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Belagavi (Belgaum)"", ""mode_raw"": ""Flight"", ""distance_km"": 618.33, ""time_hours"": 0.0, ""availability_raw"": ""Yes""}"
flight,Aizawl,Agra,non_positive_duration,"{""source_raw"": ""Aizawl"", ""destination_raw"": ""Agra"", ""mode_raw"": ""Flight"", ""distance_km"": 1516.06, ""time_hours"": 0.0, ""availability_raw"": ""Yes""}"
flight,Aizawl,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Aizawl"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 164.97, ""time_hours"": 0.21, ""availability_raw"": ""No""}"
flight,Akola,Agra,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Agra"", ""mode_raw"": ""Flight"", ""distance_km"": 727.34, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Agatti Island (Lakshadweep),non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Agatti Island (Lakshadweep)"", ""mode_raw"": ""Flight"", ""distance_km"": 1212.91, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Aizawl,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Aizawl"", ""mode_raw"": ""Flight"", ""distance_km"": 1636.87, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Ahmedabad,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Ahmedabad"", ""mode_raw"": ""Flight"", ""distance_km"": 531.88, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Amritsar,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Amritsar"", ""mode_raw"": ""Flight"", ""distance_km"": 1248.32, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Bhubaneswar,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Bhubaneswar"", ""mode_raw"": ""Flight"", ""distance_km"": 910.97, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Vadodara,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Vadodara"", ""mode_raw"": ""Flight"", ""distance_km"": 440.75, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Bellary,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Bellary"", ""mode_raw"": ""Flight"", ""distance_km"": 610.03, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Bhuj,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Bhuj"", ""mode_raw"": ""Flight"", ""distance_km"": 817.87, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Bhopal,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Bhopal"", ""mode_raw"": ""Flight"", ""distance_km"": 292.34, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Bhavnagar,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Bhavnagar"", ""mode_raw"": ""Flight"", ""distance_km"": 522.02, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Bikaner,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Bikaner"", ""mode_raw"": ""Flight"", ""distance_km"": 902.51, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Bengaluru,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Bengaluru"", ""mode_raw"": ""Flight"", ""distance_km"": 833.01, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Mumbai,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Mumbai"", ""mode_raw"": ""Flight"", ""distance_km"": 473.44, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Hyderabad,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Hyderabad"", ""mode_raw"": ""Flight"", ""distance_km"": 386.38, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Bathinda,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Bathinda"", ""mode_raw"": ""Flight"", ""distance_km"": 1077.45, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Kozhikode (Calicut),non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Kozhikode (Calicut)"", ""mode_raw"": ""Flight"", ""distance_km"": 1066.17, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Kolkata,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Kolkata"", ""mode_raw"": ""Flight"", ""distance_km"": 1193.7, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Kadapa,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Kadapa"", ""mode_raw"": ""Flight"", ""distance_km"": 707.16, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Coimbatore,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Coimbatore"", ""mode_raw"": ""Flight"", ""distance_km"": 1071.44, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Cooch Behar,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Cooch Behar"", ""mode_raw"": ""Flight"", ""distance_km"": 1410.16, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
